Date,Close/Last,Volume,Open,High,Low
12/16/2024,$251.04,51694750,$247.99,$251.38,$247.65
12/13/2024,$248.13,33155290,$247.815,$249.2902,$246.24
12/12/2024,$247.96,32777530,$246.89,$248.74,$245.68
12/11/2024,$246.49,45205810,$247.96,$250.80,$246.2601
12/10/2024,$247.77,36914810,$246.89,$248.21,$245.34
12/09/2024,$246.75,44649230,$241.83,$247.24,$241.75
12/06/2024,$242.84,36870620,$242.905,$244.63,$242.08
12/05/2024,$243.04,40033880,$243.99,$244.54,$242.13
12/04/2024,$243.01,44383940,$242.87,$244.11,$241.25
12/03/2024,$242.65,38861020,$239.81,$242.76,$238.90
12/02/2024,$239.59,48137100,$237.27,$240.79,$237.16
11/29/2024,$237.33,28481380,$234.805,$237.81,$233.97
11/27/2024,$234.93,33498440,$234.465,$235.69,$233.8101
11/26/2024,$235.06,45986190,$233.33,$235.57,$233.33
11/25/2024,$232.87,90152830,$231.46,$233.245,$229.74
11/22/2024,$229.87,38168250,$228.06,$230.7199,$228.06
11/21/2024,$228.52,42108330,$228.88,$230.155,$225.7103
11/20/2024,$229.00,35169570,$228.06,$229.93,$225.89
11/19/2024,$228.28,36211770,$226.98,$230.16,$226.66
11/18/2024,$228.02,44686020,$225.25,$229.74,$225.17
